Pos,Player,Team,Matches,Inn,Runs,Strike Rate,Fours,Sixes,Year
1,Shubman Gill,Gujarat,17,17,890,157.8,85,33,2023
2,Faf du Plessis,Bangalore,14,14,730,153.68,60,36,2023
3,Devon Conway,Chennai,16,15,672,139.71,77,18,2023
4,Virat Kohli,Bangalore,14,14,639,139.82,65,16,2023
5,Yashasvi Jaiswal,Rajasthan,14,14,625,163.61,82,26,2023
6,Suryakumar Yadav,Mumbai,16,16,605,181.14,65,28,2023
7,Ruturaj Gaikwad,Chennai,16,15,590,147.5,46,30,2023
8,David Warner,Delhi,14,14,516,131.63,69,10,2023
9,Rinku Singh,Kolkata,14,14,474,149.53,31,29,2023
10,Ishan Kishan,Mumbai,16,15,454,142.77,54,18,2023
11,Cameron Green,Mumbai,16,16,452,160.28,40,22,2023
12,Heinrich Klaasen,Hyderabad,12,11,448,177.08,32,25,2023
13,Shivam Dube,Chennai,16,14,418,158.33,12,35,2023
14,Nitish Rana,Kolkata,14,14,413,140.96,39,20,2023
15,Marcus Stoinis,Lucknow,15,15,408,150,28,27,2023
16,Venkatesh Iyer,Kolkata,14,14,404,145.85,32,21,2023
17,Glenn Maxwell,Bangalore,14,14,400,183.49,29,31,2023
18,Jos Buttler,Rajasthan,14,14,392,139.01,42,14,2023
19,Kyle Mayers,Lucknow,13,13,379,144.11,38,22,2023
20,Shikhar Dhawan,Punjab,11,11,373,142.91,49,12,2023
21,Wriddhiman Saha,Gujarat,17,17,371,129.27,47,8,2023
22,B Sai Sudharshan,Gujarat,8,8,362,141.41,33,12,2023
23,Sanju Samson,Rajasthan,14,14,362,153.39,25,24,2023
24,Nicholas Pooran,Lucknow,15,15,358,172.95,26,26,2023
25,Simran Singh,Punjab,14,14,358,150.42,38,19,2023
26,Hardik Pandya,Gujarat,16,15,346,136.76,26,15,2023
27,Tilak Varma,Mumbai,11,11,343,164.11,26,23,2023
28,Rohit Sharma,Mumbai,16,16,332,132.8,35,17,2023
29,Ajinkya Rahane,Chennai,14,11,326,172.49,24,16,2023
30,Jitesh Sharma,Punjab,14,14,309,156.06,22,21,2023
31,Vijay Shankar,Gujarat,14,10,301,160.11,27,15,2023
32,Shimron Hetmyer,Rajasthan,14,13,299,151.78,12,23,2023
33,Jason Roy,Kolkata,8,8,285,151.6,36,12,2023
34,Axar Patel,Delhi,14,13,283,139.41,21,15,2023
35,Liam Livingstone,Punjab,9,9,279,163.16,20,19,2023
36,Sam Curran,Punjab,14,13,276,135.96,20,13,2023
37,Lokesh Rahul,Lucknow,9,9,274,113.22,28,4,2023
38,Rahul Tripathi,Hyderabad,13,13,273,128.17,29,10,2023
39,Mayank Agarwal,Hyderabad,10,10,270,128.57,29,6,2023
40,Devdutt Padikkal,Rajasthan,11,11,261,130.5,31,6,2023
41,David Miller,Gujarat,16,13,259,145.51,18,13,2023
42,Aiden Markram,Hyderabad,13,13,248,125.89,18,8,2023
43,Nehal Wadhera,Mumbai,14,10,241,145.18,23,12,2023
44,Ayush Badoni,Lucknow,15,12,238,138.37,13,12,2023
45,Tim David,Mumbai,16,15,231,158.22,12,15,2023
46,Andre Russell,Kolkata,14,14,227,145.51,13,18,2023
47,Rahmanullah Gurbaz,Kolkata,11,11,227,133.53,17,15,2023
48,Abhishek Sharma,Hyderabad,11,11,226,143.95,28,6,2023
49,Philip Salt,Delhi,9,9,218,163.91,24,10,2023
50,Rilee Rossouw,Delhi,9,9,209,148.23,17,11,2023
51,Harry Brook,Hyderabad,11,11,190,123.38,23,4,2023
52,Ravindra Jadeja,Chennai,16,12,190,142.86,11,9,2023
53,Krunal Pandya,Lucknow,15,14,188,113.94,15,6,2023
54,Atharva Taide,Punjab,7,7,186,144.19,20,6,2023
55,Abdul Samad,Hyderabad,9,8,169,132.03,10,11,2023
56,Manish Pandey,Delhi,10,9,160,109.59,15,3,2023
57,Ambati Rayudu,Chennai,16,12,158,139.82,10,9,2023
58,Shahrukh Khan,Punjab,14,13,156,165.96,13,9,2023
59,Dhruv Chand Jurel,Rajasthan,13,11,152,172.73,11,9,2023
60,Quinton de Kock,Lucknow,4,4,143,140.2,10,8,2023
61,Dinesh Karthik,Bangalore,13,13,140,134.62,13,5,2023
62,Sikandar Raza,Punjab,7,7,139,141.84,10,6,2023
63,Mahipal Lomror,Bangalore,12,10,135,139.18,9,8,2023
64,Rashid Khan,Gujarat,17,9,130,216.67,8,13,2023
65,Mitchell Marsh,Delhi,9,9,128,131.96,11,7,2023
66,Moeen Ali,Chennai,15,10,124,136.26,12,6,2023
67,Matt Short,Punjab,6,6,117,127.17,15,4,2023
68,Abhinav Manohar,Gujarat,9,6,114,137.35,6,7,2023
69,Shardul Thakur,Kolkata,11,10,113,161.43,13,4,2023
70,Aman Hakim Khan,Delhi,11,9,110,108.91,7,6,2023
71,Prithvi Shaw,Delhi,8,8,106,124.71,16,1,2023
72,Anmolpreet Singh,Hyderabad,4,4,105,128.05,15,2,2023
73,MS Dhoni,Chennai,16,12,104,182.46,3,10,2023
74,Prerak Mankad,Lucknow,5,5,93,129.17,12,2,2023
75,Anuj Rawat,Bangalore,9,7,91,128.17,6,4,2023
76,Narayan Jagadeesan,Kolkata,6,6,89,109.88,14,1,2023
77,Rahul Tewatia,Gujarat,17,10,87,152.63,3,7,2023
