Pos,Player,Team,Matches,Inn,Balls,Wickets,Five_Ws,Year
1,Mohammed Shami,Gujarat,17,17,390,28,0,2023
2,Mohit Sharma,Gujarat,14,14,265,27,1,2023
3,Rashid Khan,Gujarat,17,17,402,27,0,2023
4,Piyush Chawla,Mumbai,16,16,366,22,0,2023
5,Yuzvendra Chahal,Rajasthan,14,14,317,21,0,2023
6,Tushar Deshpande,Chennai,16,16,341,21,0,2023
7,Ravindra Jadeja,Chennai,16,16,342,20,0,2023
8,Varun Chakravarthy,Kolkata,14,14,316,20,0,2023
9,Mohammed Siraj,Bangalore,14,14,300,19,0,2023
10,Matheesha Pathirana,Chennai,12,12,278,19,0,2023
11,Arshdeep Singh,Punjab,14,14,305,17,0,2023
12,Ravi Bishnoi,Lucknow,15,14,303,16,0,2023
13,Noor Ahmad,Gujarat,13,13,283,16,0,2023
14,Bhuvneshwar Kumar,Hyderabad,14,14,306,16,1,2023
15,Ravichandran Ashwin,Rajasthan,13,13,294,14,0,2023
16,Akash Madhwal,Mumbai,8,8,153,14,1,2023
17,Jason Behrendorff,Mumbai,12,12,252,14,0,2023
18,Harshal Patel,Bangalore,14,13,282,14,0,2023
19,Trent Boult,Rajasthan,10,10,228,13,0,2023
20,Deepak Chahar,Chennai,10,10,204,13,0,2023
21,Nathan Ellis,Punjab,10,10,228,13,0,2023
22,Yash Thakur,Lucknow,9,9,191,13,0,2023
23,Mayank Markande,Hyderabad,10,10,228,12,0,2023
24,Mitchell Marsh,Delhi,9,8,121,12,0,2023
25,Axar Patel,Delhi,14,13,282,11,0,2023
26,Naveen0ul0Haq,Lucknow,8,7,168,11,0,2023
27,Sunil Narine,Kolkata,14,14,288,11,0,2023
28,Maheesh Theekshana,Chennai,13,13,294,11,0,2023
29,Mark Wood,Lucknow,4,4,96,11,1,2023
30,Kuldeep Yadav,Delhi,14,14,294,10,0,2023
31,Suyash Sharma,Kolkata,11,11,234,10,0,2023
32,Ishant Sharma,Delhi,8,8,150,10,0,2023
33,Sandeep Sharma,Rajasthan,12,12,276,10,0,2023
34,Anrich Nortje,Delhi,10,10,240,10,0,2023
35,T Natarajan,Hyderabad,12,12,270,10,0,2023
36,Marco Jansen,Hyderabad,8,8,162,10,0,2023
37,Sam Curran,Punjab,14,14,287,10,0,2023
38,Karn Sharma,Bangalore,7,7,129,10,0,2023
39,Krunal Pandya,Lucknow,15,12,252,9,0,2023
40,Moeen Ali,Chennai,15,11,156,9,0,2023
41,Harpreet Brar,Punjab,13,11,163,9,0,2023
42,Wanindu Hasaranga,Bangalore,8,8,174,9,0,2023
43,Khaleel Ahmed,Delhi,9,9,198,9,0,2023
44,Wayne Parnell,Bangalore,7,7,151,9,0,2023
45,Vijaykumar Vyshak,Bangalore,7,7,144,9,0,2023
46,Rahul Chahar,Punjab,14,14,298,8,0,2023
47,Adam Zampa,Rajasthan,6,6,132,8,0,2023
48,Avesh Khan,Lucknow,9,9,174,8,0,2023
49,Amit Mishra,Lucknow,7,7,114,7,0,2023
50,Joshua Little,Gujarat,10,10,204,7,0,2023
51,Alzarri Joseph,Gujarat,7,7,144,7,0,2023
52,Kagiso Rabada,Punjab,6,6,138,7,0,2023
53,Shardul Thakur,Kolkata,11,9,126,7,0,2023
54,Mukesh Kumar,Delhi,10,10,186,7,0,2023
55,Riley Meredith,Mumbai,5,5,118,7,0,2023
56,Andre Russell,Kolkata,14,9,91,7,0,2023
57,Michael Bracewell,Bangalore,5,5,66,6,0,2023
58,Cameron Green,Mumbai,16,16,228,6,0,2023
59,Harshit Rana,Kolkata,6,6,102,5,0,2023
60,Kumar Kartikeya,Mumbai,8,8,156,5,0,2023
61,Vaibhav Arora,Kolkata,5,5,96,5,0,2023
62,Marcus Stoinis,Lucknow,15,5,65,5,0,2023
63,Akash Singh,Chennai,6,6,114,5,0,2023
64,Umran Malik,Hyderabad,8,8,120,5,0,2023
65,Arshad Khan,Mumbai,6,6,85,5,0,2023
66,Fazal,Hyderabad,4,4,80,4,0,2023
67,Jason Holder,Rajasthan,8,8,171,4,0,2023
68,Mitchell Santner,Chennai,3,3,72,3,0,2023
69,David Willey,Bangalore,4,4,90,3,0,2023
70,Krishnappa Gowtham,Lucknow,7,6,96,3,0,2023
71,Anukul Roy,Kolkata,4,3,48,3,0,2023
72,Washington Sundar,Hyderabad,7,7,106,3,0,2023
73,Josh Hazlewood,Bangalore,3,3,54,3,0,2023
74,Nitish Rana,Kolkata,14,6,53,3,0,2023
75,Yudhvir Singh,Lucknow,3,3,48,3,0,2023
76,Glenn Maxwell,Bangalore,14,7,62,3,0,2023
77,Hardik Pandya,Gujarat,16,11,150,3,0,2023
78,Arjun Tendulkar,Mumbai,4,4,59,3,0,2023
79,Hrithik Shokeen,Mumbai,8,8,114,3,0,2023
80,KM Asif,Rajasthan,4,4,84,3,0,2023
81,Sikandar Raza,Punjab,7,6,72,3,0,2023
82,Rajvardhan Hangargekar,Chennai,2,2,36,3,0,2023
83,Mohsin Khan,Lucknow,5,4,60,3,0,2023
84,Chris Jordan,Mumbai,6,6,132,3,0,2023
85,Chetan Sakariya,Delhi,2,2,48,3,0,2023
86,Navdeep Saini,Rajasthan,2,2,36,3,0,2023
87,Adil Rashid,Hyderabad,2,2,42,2,0,2023
88,Lalit Yadav,Delhi,6,4,78,2,0,2023
89,Jofra Archer,Mumbai,5,5,120,2,0,2023
90,Kuldip Yadav,Rajasthan,2,2,42,2,0,2023
91,Abhishek Sharma,Hyderabad,11,5,72,2,0,2023
92,Yash Dayal,Gujarat,5,5,84,2,0,2023
93,Tim Southee,Kolkata,2,2,36,2,0,2023
94,Liam Livingstone,Punjab,9,5,42,2,0,2023
95,Kulwant Khejroliya,Kolkata,2,2,26,2,0,2023
96,Praveen Dubey,Delhi,1,1,18,1,0,2023
97,Glenn Phillips,Hyderabad,5,2,18,1,0,2023
98,Reece Topley,Bangalore,1,1,12,1,0,2023
99,Tristan Stubbs,Mumbai,2,1,12,1,0,2023
100,Mayank Dagar,Hyderabad,3,3,66,1,0,2023
101,Sisanda Magala,Chennai,2,2,36,1,0,2023
102,Aiden Markram,Hyderabad,13,6,49,1,0,2023
103,Rishi Dhawan,Punjab,6,4,42,1,0,2023
104,Rovman Powell,Delhi,3,1,12,1,0,2023
105,Umesh Yadav,Kolkata,8,8,114,1,0,2023
106,Akeal Hosein,Hyderabad,1,1,24,1,0,2023
107,Darshan Nalkande,Gujarat,1,1,24,1,0,2023
108,Mustafizur Rahman,Delhi,2,2,42,1,0,2023
109,Akash Deep,Bangalore,2,2,30,1,0,2023
110,Lockie Ferguson,Kolkata,3,3,46,1,0,2023
111,Duan Jansen,Mumbai,1,1,24,1,0,2023
112,Shahbaz Ahmed,Bangalore,10,5,42,1,0,2023
113,Kartik Tyagi,Hyderabad,3,3,37,1,0,2023
114,Yuzvendra Chahal,Rajasthan,17,17,408,27,1,2022
115,Wanindu Hasaranga,Bangalore,16,16,342,26,1,2022
116,Kagiso Rabada,Punjab,13,13,288,23,0,2022
117,Umran Malik,Hyderabad,14,14,295,22,1,2022
118,Kuldeep Yadav,Delhi,14,14,298,21,0,2022
119,Mohammed Shami,Gujarat,16,16,366,20,0,2022
